date,games,insomnia,melatonin,Ambien,AmbienCR,isPartial
2004-01-01,65,0,0,0,0,True
2004-02-01,65,0,0,0,0,True
2004-03-01,66,0,0,0,0,True
2004-04-01,63,0,0,0,0,True
2004-05-01,62,0,0,0,0,True
2004-06-01,66,0,0,0,0,True
2004-07-01,62,0,0,0,0,True
2004-08-01,64,0,0,0,0,True
2004-09-01,58,0,0,0,0,True
2004-10-01,64,0,0,0,0,True
2004-11-01,68,0,0,0,0,True
2004-12-01,78,0,0,0,0,True
2005-01-01,65,0,0,0,0,True
2005-02-01,63,0,0,0,0,True
2005-03-01,68,0,0,0,0,True
2005-04-01,66,0,0,0,0,True
2005-05-01,65,0,0,0,0,True
2005-06-01,71,0,0,0,0,True
2005-07-01,69,0,0,0,0,True
2005-08-01,71,0,0,0,0,True
2005-09-01,61,0,0,0,0,True
2005-10-01,66,0,0,0,0,True
2005-11-01,71,0,0,0,0,False
2005-12-01,85,0,0,0,0,True
2006-01-01,70,0,0,0,0,False
2006-02-01,87,0,0,0,0,True
2006-03-01,74,0,0,0,0,True
2006-04-01,72,0,0,0,0,False
2006-05-01,71,0,0,0,0,True
2006-06-01,75,0,0,0,0,True
2006-07-01,73,0,0,0,0,True
2006-08-01,70,0,0,0,0,True
2006-09-01,67,0,0,0,0,False
2006-10-01,72,0,0,0,0,True
2006-11-01,79,0,0,0,0,False
2006-12-01,95,0,0,0,0,False
2007-01-01,74,0,0,0,0,True
2007-02-01,78,0,0,0,0,True
2007-03-01,79,0,0,0,0,False
2007-04-01,76,0,0,0,0,False
2007-05-01,75,0,0,0,0,False
2007-06-01,83,0,0,0,0,False
2007-07-01,81,0,0,0,0,True
2007-08-01,79,0,0,0,0,True
2007-09-01,74,0,0,0,0,True
2007-10-01,77,0,0,0,0,True
2007-11-01,82,0,0,0,0,True
2007-12-01,99,0,0,0,0,False
2008-01-01,79,0,0,0,0,False
2008-02-01,80,0,0,0,0,True
2008-03-01,85,0,0,0,0,False
2008-04-01,74,0,0,0,0,True
2008-05-01,76,0,0,0,0,True
2008-06-01,83,0,0,0,0,True
2008-07-01,77,0,0,0,0,True
2008-08-01,100,0,0,0,0,True
2008-09-01,71,0,0,0,0,True
2008-10-01,77,0,0,0,0,True
2008-11-01,84,0,0,0,0,False
2008-12-01,96,0,0,0,0,True
2009-01-01,79,0,0,0,0,True
2009-02-01,77,0,0,0,0,True
2009-03-01,77,0,0,0,0,True
2009-04-01,80,0,0,0,0,True
2009-05-01,81,0,0,0,0,True
2009-06-01,83,0,0,0,0,True
2009-07-01,79,0,0,0,0,True
2009-08-01,81,0,0,0,0,False
2009-09-01,71,0,0,0,0,False
2009-10-01,80,0,0,0,0,True
2009-11-01,87,0,0,0,0,False
2009-12-01,97,0,0,0,0,True
2010-01-01,83,0,0,0,0,True
2010-02-01,86,0,0,0,0,False
2010-03-01,79,0,0,0,0,True
2010-04-01,74,0,0,0,0,True
2010-05-01,76,0,0,0,0,True
2010-06-01,76,0,0,0,0,True
2010-07-01,69,0,0,0,0,True
2010-08-01,67,0,0,0,0,True
2010-09-01,63,0,0,0,0,False
2010-10-01,69,0,0,0,0,False
2010-11-01,73,0,0,0,0,True
2010-12-01,83,0,0,0,0,True
2011-01-01,70,0,0,0,0,True
2011-02-01,74,0,0,0,0,True
2011-03-01,68,0,0,0,0,True
2011-04-01,66,0,0,0,0,True
2011-05-01,64,0,0,0,0,True
2011-06-01,67,0,0,0,0,False
2011-07-01,64,0,0,0,0,True
2011-08-01,64,0,0,0,0,True
2011-09-01,60,0,0,0,0,True
2011-10-01,64,0,0,0,0,True
2011-11-01,67,0,0,0,0,True
2011-12-01,75,0,0,0,0,True
2012-01-01,64,0,0,0,0,True
2012-02-01,65,0,0,0,0,True
2012-03-01,77,0,0,0,0,True
2012-04-01,66,0,0,0,0,True
2012-05-01,59,0,0,0,0,True
2012-06-01,62,0,0,0,0,True
2012-07-01,58,0,0,0,0,True
2012-08-01,58,0,0,0,0,True
2012-09-01,49,0,0,0,0,True
2012-10-01,51,0,0,0,0,True
2012-11-01,55,0,0,0,0,True
2012-12-01,62,0,0,0,0,False
