date,watches,insomnia,melatonin,Ambien,AmbienCR,isPartial
2004-01-01,50,9,4,1,0,True
2004-02-01,46,6,3,1,0,True
2004-03-01,48,8,2,1,0,True
2004-04-01,47,6,3,1,0,True
2004-05-01,49,6,4,1,0,True
2004-06-01,59,6,4,1,0,True
2004-07-01,54,6,5,1,0,True
2004-08-01,56,6,5,1,0,True
2004-09-01,52,7,5,1,0,True
2004-10-01,51,8,6,1,0,True
2004-11-01,69,6,5,1,0,True
2004-12-01,95,8,3,1,0,True
2005-01-01,48,8,5,0,0,True
2005-02-01,49,8,4,1,0,True
2005-03-01,43,6,5,1,0,True
2005-04-01,43,7,4,1,0,True
2005-05-01,46,6,3,1,0,True
2005-06-01,47,7,3,1,0,True
2005-07-01,50,8,4,1,0,True
2005-08-01,54,7,3,1,0,True
2005-09-01,50,7,5,1,0,True
2005-10-01,50,7,5,1,0,True
2005-11-01,56,7,4,2,0,True
2005-12-01,81,7,4,1,0,True
2006-01-01,48,8,6,1,0,False
2006-02-01,43,8,4,1,0,True
2006-03-01,41,8,5,1,0,True
2006-04-01,41,7,4,2,0,False
2006-05-01,42,6,3,2,0,False
2006-06-01,41,6,3,1,0,True
2006-07-01,46,8,5,1,0,True
2006-08-01,55,8,3,1,0,True
2006-09-01,48,6,5,1,0,True
2006-10-01,46,7,5,1,0,True
2006-11-01,58,7,4,1,0,True
2006-12-01,78,7,4,2,0,False
2007-01-01,48,8,4,1,0,True
2007-02-01,45,6,4,1,0,False
2007-03-01,42,6,4,1,0,True
2007-04-01,43,6,4,1,0,False
2007-05-01,46,5,4,1,0,True
2007-06-01,48,6,3,1,0,True
2007-07-01,52,5,3,1,0,True
2007-08-01,52,7,3,1,0,True
2007-09-01,48,6,4,1,0,True
2007-10-01,49,7,4,1,0,True
2007-11-01,68,7,4,1,0,True
2007-12-01,85,6,4,2,0,True
2008-01-01,48,7,4,3,0,True
2008-02-01,43,8,4,1,0,True
2008-03-01,45,7,4,1,0,False
2008-04-01,43,6,4,1,0,True
2008-05-01,44,6,4,1,0,True
2008-06-01,46,6,4,1,0,False
2008-07-01,45,6,3,1,0,True
2008-08-01,46,6,4,1,0,True
2008-09-01,43,6,4,1,0,True
2008-10-01,43,6,4,1,0,True
2008-11-01,54,7,4,1,0,True
2008-12-01,64,7,3,1,0,False
2009-01-01,41,8,5,1,0,True
2009-02-01,41,8,5,1,0,True
2009-03-01,39,8,4,1,0,True
2009-04-01,43,9,4,2,0,True
2009-05-01,45,7,5,2,0,True
2009-06-01,48,7,4,2,0,True
2009-07-01,50,9,5,2,0,True
2009-08-01,50,9,5,2,0,True
2009-09-01,50,8,5,2,0,False
2009-10-01,50,8,6,3,0,True
2009-11-01,66,9,6,3,0,False
2009-12-01,88,8,5,7,0,True
2010-01-01,56,10,6,3,0,True
2010-02-01,55,9,5,3,0,False
2010-03-01,53,9,6,2,0,True
2010-04-01,55,8,5,3,0,True
2010-05-01,53,8,5,2,0,True
2010-06-01,56,8,5,2,0,True
2010-07-01,55,10,6,2,0,True
2010-08-01,58,10,5,2,0,True
2010-09-01,54,9,6,2,0,True
2010-10-01,55,10,6,2,0,False
2010-11-01,68,9,7,2,0,True
2010-12-01,93,10,6,2,0,True
2011-01-01,55,10,7,1,0,True
2011-02-01,52,8,7,1,0,True
2011-03-01,49,8,6,1,0,True
2011-04-01,50,8,6,1,0,True
2011-05-01,50,7,6,1,0,True
2011-06-01,54,7,6,1,0,True
2011-07-01,56,8,7,1,0,True
2011-08-01,66,8,7,1,0,True
2011-09-01,62,8,8,1,0,True
2011-10-01,61,9,8,1,0,True
2011-11-01,75,8,8,1,0,False
2011-12-01,97,9,9,1,0,True
2012-01-01,62,10,10,1,0,True
2012-02-01,57,8,9,1,0,True
2012-03-01,56,8,9,1,0,True
2012-04-01,56,7,8,1,0,True
2012-05-01,60,7,7,1,0,True
2012-06-01,61,7,7,1,0,True
2012-07-01,62,8,8,1,0,True
2012-08-01,63,9,8,1,0,True
2012-09-01,62,8,10,2,0,True
2012-10-01,60,8,9,1,0,True
2012-11-01,78,9,10,1,0,True
2012-12-01,100,8,9,1,0,False
2013-01-01,63,10,11,2,0,True
2013-02-01,58,8,9,1,0,True
2013-03-01,56,9,9,1,0,True
2013-04-01,55,8,9,1,0,False
